emp_no,first_name,last_name,birth_date
10001,Georgi,Facello,1953-09-02
10004,Chirstian,Koblick,1954-05-01
10009,Sumant,Peac,1952-04-19
10018,Kazuhide,Peha,1954-06-19
10035,Alain,Chappelet,1953-02-08
10053,Sanjiv,Zschoche,1954-09-13
10058,Berhard,McFarlin,1954-10-01
10066,Kwee,Schusler,1952-11-13
10067,Claudi,Stavenow,1953-01-07
10070,Reuven,Garigliano,1955-08-20
10072,Hironoby,Sidou,1952-05-15
10076,Erez,Ritzmann,1952-06-13
10088,Jungsoon,Syrzycki,1954-02-25
10100,Hironobu,Haraldson,1953-04-21
10103,Akemi,Birch,1953-11-26
10126,Kayoko,Valtorta,1954-08-07
10129,Armond,Peir,1955-12-02
10130,Nishit,Casperson,1955-04-27
10134,Diederik,Siprelle,1953-04-15
10138,Perry,Shimshoni,1955-04-24
10150,Zhenbing,Perng,1955-01-29
10153,Heekeun,Majewski,1955-12-15
10157,Nigel,Aloisi,1954-04-23
10198,Pranav,Furedi,1953-05-28
10215,Xiaobin,Duclos,1954-04-02
10224,Leon,Trogemann,1954-05-17
10233,Lein,Vendrig,1954-04-01
10258,Basil,Ishibashi,1955-12-12
10272,Yishai,Cannane,1954-11-30
10282,Hercules,Benzmuller,1953-11-27
10283,Kauko,Birjandi,1953-07-08
10326,Masali,Czap,1953-02-13
10340,Djelloul,Laventhal,1952-08-20
10347,Pradeep,Kaminger,1953-10-03
10355,Satyanarayana,Cochrane,1952-12-10
10356,Vasilis,Standera,1952-08-12
10364,Nakhoon,Dengi,1954-09-21
10372,Anneli,Frijda,1952-04-08
10387,Parto,Wrigley,1952-11-03
10396,Sibyl,Rahier,1955-08-21
10402,Volkmar,Ebeling,1953-07-23
10404,Prodip,Rosti,1955-04-27
10426,Arunas,Luce,1955-12-28
10429,Martien,Improta,1952-02-13
10432,Hisao,Tiemann,1953-11-06
10451,Bodh,Ranta,1952-10-06
10453,Tsvetan,Matzel,1953-07-19
10463,Ung,Zaiane,1954-05-20
10486,Amstein,Kossowski,1952-08-24
10494,Yakkov,Servieres,1953-12-21
10504,Xiong,Varker,1953-04-07
10512,Udi,Gihr,1955-11-16
10522,Marke,Cesareni,1955-07-24
10548,Ramalingam,Gunderson,1952-06-12
10564,Jianhao,Thisen,1955-04-14
10623,Aleksander,Danlos,1953-07-11
10628,Krisda,Krogh,1954-04-18
10631,Inderjeet,Chaudhuri,1955-05-17
10642,Hirochika,Narlikar,1955-12-19
10653,Otmar,Feinberg,1953-06-16
10671,Parviz,Rebaine,1953-06-12
10676,Valeri,Danley,1953-08-26
10693,Berhard,Daescu,1953-12-14
10702,Bader,Szemeredi,1952-11-25
10718,Adib,Rullman,1955-12-19
10726,Zita,Minakawa,1954-01-11
10734,Sachar,Erdi,1954-07-06
10745,Poorav,Ranze,1953-10-23
10749,King,Brendel,1955-08-21
10767,Monique,Doering,1954-02-28
10768,Ishfaq,Candan,1955-06-24
10778,Selwyn,Merey,1953-03-13
10791,Tadahiko,Sgarro,1954-05-27
10795,Supot,Naudin,1954-12-14
10808,Chenxi,Leijenhorst,1955-09-11
10835,Tomoyuki,Kermarrec,1952-11-23
10836,Jianhua,Leivant,1953-07-15
10844,Dipayan,Koprowski,1954-02-03
10847,Theirry,Danley,1952-03-04
10848,Fen,Bratsberg,1954-07-16
10878,Lakshmi,Deville,1952-06-13
10879,Muzhong,Chleq,1953-08-18
10883,Shimshon,Champarnaud,1952-07-30
10909,Georgi,Atchley,1954-11-11
10921,Mara,Bahi,1955-07-20
10924,Hironoby,Atchley,1954-04-27
10927,Gal,Scallan,1953-03-13
10936,Mountaz,Schicker,1953-04-08
10943,Berna,Skafidas,1955-11-19
10965,Eckart,Braunschweig,1955-07-10
10969,Premal,Noriega,1954-09-05
10974,Muneo,Papsdorf,1952-03-07
10986,Masako,Schiper,1954-08-11
10988,Chinya,Deyuan,1955-06-24
10989,Sumali,Candan,1954-09-08
10990,Shin,Foote,1954-10-22
11009,Alper,Axelband,1954-08-30
11012,Taegyun,Speckmann,1953-09-12
11019,Leon,Huttel,1954-09-06
11021,Srinidhi,Henders,1954-07-13
11027,Remzi,Cappello,1955-12-13
11031,Ottavia,Walstra,1954-12-20
11037,Lansing,Maliniak,1952-05-22
11038,Jinya,Beidas,1955-10-13
11042,Gou,Breugel,1955-07-13
11048,Jaques,Demke,1952-10-26
11050,Elvis,Katiyar,1952-09-23
11051,Przemyslawa,Erol,1952-10-06
11070,Adib,Raney,1952-06-30
11081,Barry,Boyle,1952-06-20
11085,Hailing,Thummel,1953-09-08
11100,Berna,Cochrane,1955-10-14
11106,Aris,Iwayama,1955-02-23
11112,Boaz,Mukaidono,1954-08-05
11113,Shahab,Peng,1953-04-28
11121,Vugranam,Kakkad,1953-02-13
11133,Nalini,Azulay,1955-12-13
11134,Sachar,Rajcani,1954-05-15
11137,Hugh,Luca,1955-03-17
11139,Bogdan,Homond,1955-10-13
11146,Ishfaq,Masand,1954-06-25
11148,Zhanqiu,Botman,1953-01-23
11162,Kauko,Narlikar,1953-03-25
11180,Mitsuyuki,Bojadziev,1952-11-07
11197,Tadahiro,Fordan,1955-05-11
11204,Diederik,Covnot,1955-12-15
11207,Saeed,Gips,1955-08-14
11208,Saniya,Valtorta,1952-05-29
11211,Yurij,Rissland,1952-12-11
11217,Kellie,Mawatari,1954-07-01
11232,Hidefumi,Crelier,1955-09-03
11240,Kiam,Condotta,1955-08-12
11249,Randi,Cyre,1954-10-01
11251,Bezalel,Chinal,1955-10-16
11268,Aimee,Petersohn,1954-05-14
11275,Hitomi,Eppinger,1955-10-18
11290,Visit,Dredge,1953-05-07
11295,Abdelkader,Lanzelotte,1953-02-03
11319,Pranas,Marrakchi,1955-06-05
11320,Atilio,McAlpine,1954-04-13
11322,Nathalie,Pocchiola,1952-07-19
11324,Kauko,Billingsley,1953-11-16
11338,Kwangsub,Hanratty,1954-11-03
11339,Flemming,Massonet,1954-06-05
11347,Anneli,Jonsson,1954-12-27
11365,Toshimi,Shinomoto,1953-11-17
11376,Valery,Suomi,1952-03-10
11380,Kenroku,Pelc,1952-04-23
11385,Shiv,Ullian,1952-03-04
11386,Alselm,Assaf,1954-09-27
11393,Junsik,Junot,1954-05-17
11398,Oscar,Peir,1953-05-30
11404,Bedrich,Borovoy,1954-09-15
11415,Sanjiv,Anido,1953-10-29
11421,Josyula,Msuda,1953-11-07
11441,Marlo,Aingworth,1954-11-16
11449,Kotesh,Asser,1955-03-30
11459,Duke,Suomi,1953-10-14
11469,Guttorm,Giaccio,1952-12-01
11506,Rance,Picel,1955-06-16
11509,Aleksander,Feldhoffer,1954-06-18
11513,Otmar,Mahnke,1954-07-16
11515,Ulf,Basawa,1955-03-03
11518,Jinxi,Oxman,1953-07-21
11524,Xiadong,Standera,1955-10-26
11527,Alagu,Boyle,1952-02-06
11528,Zito,Dolinsky,1955-04-26
11537,DAIDA,Pehl,1955-06-29
11554,Subhash,Taubenfeld,1955-05-28
11555,Kotesh,Perfilyeva,1955-08-05
11567,Teiji,Mitzlaff,1954-07-06
11568,Martins,Fujisaki,1955-12-01
11603,Herb,Swen,1954-12-07
11607,Tomokazu,Foong,1953-12-03
11615,Shem,Isaak,1955-03-05
11624,Adil,Gammage,1955-05-16
11628,Fan,Malinowski,1952-02-14
11640,Valeri,Coorg,1953-10-06
11647,Magy,Nitsche,1953-10-13
11660,Gill,Stenning,1955-07-19
11673,Henk,Felder,1954-12-20
11676,Valeri,Ferriere,1952-04-12
11681,Fumitake,Benzmuller,1952-05-15
11684,Oksana,Gide,1953-03-07
11696,Dante,Rothe,1954-10-26
11732,Sanjoy,Ranft,1955-06-14
11735,Amalendu,Picci,1955-02-19
11746,Koichi,Marrakchi,1952-05-22
11751,Jiafu,Emiris,1953-02-02
11764,Sanjay,Anick,1953-04-22
11769,Chandrasekaran,Lampe,1953-07-17
11772,Gaurav,Penz,1954-06-19
11797,Chenxi,Thambidurai,1954-08-12
11810,Amabile,Bhattacharjee,1952-12-08
11817,Niranjan,Markovitch,1955-05-25
11832,Arto,Zlotek,1952-05-18
11844,Shawna,Demeyer,1953-10-30
11853,Zeljko,Kusakabe,1952-06-19
11857,Divier,Farrag,1955-12-03
11864,Pradeep,Kriebel,1952-06-14
11871,Nalini,Sommen,1953-05-02
11872,Cheong,Riexinger,1953-01-17
11894,Mitchel,Validov,1954-12-23
11897,Cordelia,Setlzner,1952-11-23
11906,Hideo,Boguraev,1955-04-26
11915,Miomir,Mawatari,1954-08-16
